,id_resol,año,cargos,códigos,Empresa denunciada,Multas,Medidas correctivas,dec_fav_denunciante,cargos limpio
10,1799-2019/SPC-INDECOPI,2019,"(i) Transportes Flores no cumplía con brindar información relevante a los consumidores, en la medida que no señaló en los boletos de viaje lo siguiente: (a) los mecanismos que había establecido para las causales de indemnización en caso de pérdida de equipaje y/o accidente de tránsito; y, (b) el monto económico que debían pagar los usuarios que soliciten el duplicado de su boleto de viaje y/o realicen el endoso o transferencia del mismo;
(ii) las cláusulas generales del contrato de transportes de pasajeros -impreso al reverso de los boletos de viaje-, contaban con un tamaño inferior a tres (3) milímetros, y,
(iii) la cláusula 11, referida a que los pasajeros aceptaban que se les notifique por medios electrónicos los comprobantes de pagos vinculados a los excesos de equipaje, era abusiva, pues no todos los usuarios tienen acceso a un servicio de correo electrónico.","o4,c1,o6",Empresa de Transporte Flores Hermanos S.R.L.,0,0,0,i transportes flores cumplía brindar información relevante consumidores medida señaló boletos viaje siguiente mecanismos establecido causales indemnización caso pérdida equipaje accidente tránsito b monto económico debían pagar usuarios soliciten duplicado boleto viaje realicen endoso transferencia mismo ii cláusulas generales contrato transportes pasajeros -impreso reverso boletos viaje- contaban tamaño inferior tres 3 milímetros iii cláusula 11 referida pasajeros aceptaban notifique medios electrónicos comprobantes pagos vinculados excesos equipaje abusiva pues usuarios acceso servicio correo electrónico
11,3010-2019/SPC-INDECOPI,2019,La empresa no habría cumplido con entregar los tickets de equipajes a sus usuarios de la provincia y departamento de Huancavelica.,ser4,TRANSPORTES TURISMO OROPESA E.I.R.L.,0,0,0,empresa cumplido entregar tickets equipajes usuarios provincia departamento huancavelica
12,0012-2018/SPC-INDECOPI,2018,"Los boletos de viaje consignaban lo narrado a continuación:
(i) Caracteres inferiores a tres (03) milímetros;
(ii) el usuario debía verificar sus datos en el boleto, no aceptándose reclamos posteriores;
(iii) la anulación del viaje podía realizarse antes de las 24 horas de iniciación del mismo, teniendo la potestad de cobrar los gastos que hubiera ocasionado (70%);
(iv) no se hacía responsable por pérdidas, daños o perjuicios que pudiera causar la demora en la salida o en la llegada del bus; y,
(v) No se debía incluir en el equipaje artículos de valor (dinero y joyas), artículos de valor en cuyo caso no están sujetos a indemnización.","o4,c7,c3,c8,c12",EMPRESA DE TRANSPORTE TURISMO MER S.R.L.,10 UIT,0,1,boletos viaje consignaban narrado continuación i caracteres inferiores tres 03 milímetros ii usuario debía verificar datos boleto aceptándose reclamos posteriores iii anulación viaje podía realizarse 24 horas iniciación mismo potestad cobrar gastos ocasionado 70 iv hacía responsable pérdidas daños perjuicios pudiera causar demora salida llegada bus v debía incluir equipaje artículos valor dinero joyas artículos valor cuyo caso sujetos indemnización
13,0206-2018/SPC-INDECOPI,2018,La empresa habría incumplido con su horario de salida programada en un viaje con destino a la ciudad de Arequipa,ser5,JULSA ÁNGELES TOURS S.A.C.,2 UIT,0,1,empresa incumplido horario salida programada viaje destino ciudad arequipa
14,407-2018/SPC-INDECOPI,2018,"la empresa de transportes estableció en las condiciones generales del contrato de viaje que: (a) el boleto era personal e intransferible; (b) el peso máximo de equipaje que podían llevar los pasajeros en bodega era de quince (15) kilogramos; y, (c) la tarifa fijada con el consumidor, al momento de contratar, podía modificarse de forma posterior y unilateral.","c2,c11,c5",EMPRESA DE TRANSPORTES KALE S.A.C.,"1,5 UIT",0,1,empresa transportes estableció condiciones generales contrato viaje boleto personal intransferible b peso máximo equipaje podían llevar pasajeros bodega quince 15 kilogramos c tarifa fijada consumidor momento contratar podía modificarse forma posterior unilateral
15,0709-2018/SPC-INDECOPI,2018,"la denunciada entregó un boleto de viaje en el cual advirtió que: (a) las condiciones generales del servicio de transporte fueron consignadas en caracteres cuyo tamaño era inferior a tres (3) milímetros; y, (b) había consignado cláusulas abusivas, en las condiciones generales de la prestación de sus servicios, al señalar que: (i) en caso de pérdida del boleto de viaje se perdería su valor, sin lugar a reclamo; (ii) el boleto era personal e intransferible, válido solo para la fecha y hora de viaje programada; y, (iii) todo pasajero tenía derecho a quince (15) kilos de equipaje, siendo que el exceso sería pagado de acuerdo con la tarifa de la empresa.","o4,c2,c11",EMPRESA DE TRANSPORTES Y REPRESENTACIONES TURISMO CENTRAL S.A.,0,0,0,denunciada entregó boleto viaje advirtió condiciones generales servicio transporte consignadas caracteres cuyo tamaño inferior tres 3 milímetros b consignado cláusulas abusivas condiciones generales prestación servicios señalar i caso pérdida boleto viaje perdería valor lugar reclamo ii boleto personal intransferible válido solo fecha hora viaje programada iii pasajero derecho quince 15 kilos equipaje siendo exceso pagado acuerdo tarifa empresa
16,1178-2018/SPC-INDECOPI,2018,"(i) Turismo Raraz extravió el equipaje que se le entregó en custodia durante la realización del servicio de transporte;
(ii) que en la oficina del denunciado ubicada en Huancayo no se le permitió registrar su reclamo en el Libro de Reclamaciones por la pérdida de su equipaje, pues cuando se disponía a detallar lo sucedido, personal de la denunciada se lo arrebató de las manos rompiendo la Hoja de Reclamación.","ser2,ser6",EMPRESA DE TRANSPORTES Y TURISMO RARAZ S.A.C,1 UIT,S/200 y S/36 por costas,1,i turismo raraz extravió equipaje entregó custodia realización servicio transporte ii oficina denunciado ubicada huancayo permitió registrar reclamo libro reclamaciones pérdida equipaje pues disponía detallar sucedido personal denunciada arrebató manos rompiendo hoja reclamación
17,2263-2018/SPC-INDECOPI,2018,"en los boletos de viaje emitidos por la Empresa de Transportes se consignaba lo narrado a continuación:
(i) Información que inducía a error a los consumidores, respecto a la cobertura en caso de pérdida, sustracción o daño de los bienes transportados en bodega, toda vez que se aludía al Decreto Supremo N° 009-2004/MTC;
(ii) caracteres inferiores a tres (03) milímetros;
(iii) que los mismos eran personales e intransferibles;
(iv) que el usuario debía verificar sus datos en el boleto y firmar en señal de conformidad, sin aceptarse reclamos posteriores;
(v) que, en caso de pérdida, deterioro o destrucción de equipajes, que no se debieran a un caso fortuito y/o fuerza mayor a su empresa, solo se obligaba a pagar al pasajero en calidad de indemnización total, hasta un máximo equivalente a dos (02) veces el valor del pasaje pagado por el viajero; y,
(vi) que todo niño mayor a cuatro (04) años debía pagar su pasaje.","o5,o4,c7,c8,c14",TRANSPORTES EL PINO S.A.C.,1 UIT,0,1,boletos viaje emitidos empresa transportes consignaba narrado continuación i información inducía error consumidores respecto cobertura caso pérdida sustracción daño bienes transportados bodega toda vez aludía decreto supremo n 009-2004 mtc ii caracteres inferiores tres 03 milímetros iii mismos personales intransferibles iv usuario debía verificar datos boleto firmar señal conformidad aceptarse reclamos posteriores v caso pérdida deterioro destrucción equipajes debieran caso fortuito fuerza mayor empresa solo obligaba pagar pasajero calidad indemnización total máximo equivalente dos 02 veces valor pasaje pagado viajero vi niño mayor cuatro 04 años debía pagar pasaje
18,2388-2018/SPC-INDECOPI,2018,"se detectó lo siguiente en los boletos entregados a los consumidores:
i)	Presuntas cláusulas abusivas
“Revise su boleto antes de retirarse. No se aceptan reclamos posteriores”.
“(…). En caso de Pérdida de un bulto de equipaje, siempre que está amparado por el comprobante respectivo, la empresa solo abonará el máximo de CINCUENTA NUEVOS SOLES (S/. 50.00), de acuerdo con los artículos 105 al 190 de R.G. de FF.CC.”
“(…). La empresa no se responsabiliza por deterioros al embalaje de su equipaje”.
ii)	Tamaño de letra inferior a 3 milímetros en el reverso del boleto
iii)	Ni se brindaba información sobre la cobertura de algún seguro de viaje","c7,c8,c6,o4,o3",TRANSPORTES Y SERVICIOS INCA ATAHUALPA S.R.L,1.5 UIT,Eliminar cláusulas abusivas,1,detectó siguiente boletos entregados consumidores i presuntas cláusulas abusivas revise boleto retirarse aceptan reclamos posteriores caso pérdida bulto equipaje siempre amparado comprobante respectivo empresa solo abonará máximo cincuenta nuevos soles s 50 00 acuerdo artículos 105 190 r g ff cc empresa responsabiliza deterioros embalaje equipaje ii tamaño letra inferior 3 milímetros reverso boleto iii brindaba información cobertura algún seguro viaje
19,2387-2018/SPC-INDECOPI,2018,"se detectó lo siguiente en los boletos entregados a los consumidores:
i)	Presuntas cláusulas abusivas
“Revise su boleto antes de retirarse. No se aceptan reclamos posteriores”.
“(…). En caso de Pérdida de un bulto de equipaje, siempre que está amparado por el comprobante respectivo, la empresa solo abonará el máximo de CINCUENTA NUEVOS SOLES (S/. 50.00), de acuerdo con los artículos 105 al 190 de R.G. de FF.CC.”
“(…). La empresa no se responsabiliza por deterioros al embalaje de su equipaje”.
Infracción al literal a) del código del artículo 48 del Código: a) “Todo pasajero tendrá derecho a conducir, libre VEINTE KILOS de equipaje. Maleta con artículo de uso personal. Todo exceso de peso se pagará de acuerdo con nuestra tarifa. La empresa no responderá por maletas, paquetes. Todo bulto que contenga dinero, alhajas, y objeto de valor que no hubiese sido previamente declarado y despachado con sus respectivos documentos y abonado el flete ad – valoren” y b) “El pasajero que no presente a la hora indicada perderá el valor del integro de pasaje así como se garantiza el asiento, no se aceptan devoluciones de dinero, solo postergaciones y con 24 horas de anticipación. (…)”.
i)	que les corresponde”.
ii)	Tamaño de letra inferior a 3 milímetros en el reverso del boleto
iii)	Ni se brindaba información sobre la cobertura de algún seguro de viaje","c7,c8,o4,c11,o3",TURISMO DEL NORTE S.A.C.,1.5 UIT,Eliminar cláusulas abusivas,1,detectó siguiente boletos entregados consumidores i presuntas cláusulas abusivas revise boleto retirarse aceptan reclamos posteriores caso pérdida bulto equipaje siempre amparado comprobante respectivo empresa solo abonará máximo cincuenta nuevos soles s 50 00 acuerdo artículos 105 190 r g ff cc empresa responsabiliza deterioros embalaje equipaje infracción literal código artículo 48 código pasajero derecho conducir libre veinte kilos equipaje maleta artículo uso personal exceso peso pagará acuerdo tarifa empresa responderá maletas paquetes bulto contenga dinero alhajas objeto valor sido previamente declarado despachado respectivos documentos abonado flete ad valoren b pasajero presente hora indicada perderá valor integro pasaje así garantiza asiento aceptan devoluciones dinero solo postergaciones 24 horas anticipación i corresponde ii tamaño letra inferior 3 milímetros reverso boleto iii brindaba información cobertura algún seguro viaje
20,2648-2018/SPC-INDECOPI,2018,"Se imputaron los siguientes cargos contra la empresa:
“-habría consignado caracteres inferiores a tres (3) milímetros en los formularios contractuales (boletos de viaje), presunta infracción al artículo 47° numeral d) del Código;
-habría consignado como parte de las cláusulas generales de contratación del servicio de transporte que “la empresa esta exonerada de responsabilidad en caso de pérdida o deterioro del equipaje acompañado como consecuencia de asaltos, actos de vandalismo y/o terrorismo o por causa de fuerza mayor o causa fortuita”, debe ser calificado como una presunta infracción al literal a) del artículo 50° del Código;
-habría consignado como parte de las cláusulas generales de contratación del servicio de transporte que “la empresa compromete su máximo esfuerzo para cumplir su servicio, no asumiendo responsabilidad por eventual retraso durante el viaje o por causas no imputables a la empresa que imposibiliten su continuación” debe ser calificado como una presunta infracción al literal a) del artículo 50° del Código;
-habría consignado como parte de las cláusulas generales de contratación del servicio de transporte que “el boleto de viaje es personal e intransferible” debe ser calificado como una presunta infracción al literal e) del artículo 50° del Código;
- habría consignado como parte de las cláusulas generales de contratación del servicio de transporte que “al adquirir el presente boleto de viaje el pasajero declara estar conforme con las condiciones de transporte y de servicio antes indicadas sin derecho a reclamo alguno” debe ser calificado como una presunta
infracción al literal e) del artículo 50° del Código; y,
- habría consignado como parte de las cláusulas generales de contratación del servicio de transporte que “para el caso de reclamo judicial, el pasajero hace expresa denuncia del fuero de su domicilio y se somete a los jueces del tribunal de la ciudad de Lima” debe ser calificado como una presunta infracción al literal
e) del artículo 50° del Código.”","o4,c8,c2,c10",EMPRESA DE TRANSPORTES LA PERLA DE ALTO MAYO S.A.,7 UIT,0,1,imputaron siguientes cargos empresa -habría consignado caracteres inferiores tres 3 milímetros formularios contractuales boletos viaje presunta infracción artículo 47 numeral d código -habría consignado parte cláusulas generales contratación servicio transporte empresa exonerada responsabilidad caso pérdida deterioro equipaje acompañado consecuencia asaltos actos vandalismo terrorismo causa fuerza mayor causa fortuita debe ser calificado presunta infracción literal artículo 50 código -habría consignado parte cláusulas generales contratación servicio transporte empresa compromete máximo esfuerzo cumplir servicio asumiendo responsabilidad eventual retraso viaje causas imputables empresa imposibiliten continuación debe ser calificado presunta infracción literal artículo 50 código -habría consignado parte cláusulas generales contratación servicio transporte boleto viaje personal intransferible debe ser calificado presunta infracción literal artículo 50 código - consignado parte cláusulas generales contratación servicio transporte adquirir presente boleto viaje pasajero declara conforme condiciones transporte servicio indicadas derecho reclamo alguno debe ser calificado presunta infracción literal artículo 50 código - consignado parte cláusulas generales contratación servicio transporte caso reclamo judicial pasajero hace expresa denuncia fuero domicilio somete jueces tribunal ciudad lima debe ser calificado presunta infracción literal artículo 50 código
21,2862-2018/SPC-INDECOPI,2018,"Presuntas cláusulas abusivas infractora al literal e) del artículo 50° del Código
- El pasajero al momento de recibir su boleto de viaje, verificar que todos los datos consignados en este, sean conformes, no aceptándose reclamos posteriores sobre el particular.
- La empresa reembolsara la parte del pasaje por el tramo de viaje no recorrido cuando se interrumpa el servicio y no efectué el transbordo respectivo, siempre y cuando la interrupción obedezca a fallas mecánicas del medio de transporte.
- La empresa no se responsabilizará por el deterioro de equipajes mal embalados.

Presunta cláusula infractora del numeral 7 del artículo 66° y literal e) del artículo 50 del Código
- La postergación del viaje afectará de manera personal y lo hará el titular del boleto de viaje con 04 horas de anticipación y tendrá una vigencia de solo 06 meses desde la fecha inicial de viaje.

Letra del boleto de viaje inferior a tres (3) milímetros","c7,c6,o4",TRANSPORTES SIRUBET S.A.C.,1 UIT,Eliminar cláusulas abusivas,1,presuntas cláusulas abusivas infractora literal artículo 50 código - pasajero momento recibir boleto viaje verificar datos consignados conformes aceptándose reclamos posteriores particular - empresa reembolsara parte pasaje tramo viaje recorrido interrumpa servicio efectué transbordo respectivo siempre interrupción obedezca fallas mecánicas medio transporte - empresa responsabilizará deterioro equipajes mal embalados presunta cláusula infractora numeral 7 artículo 66 literal artículo 50 código - postergación viaje afectará manera personal hará titular boleto viaje 04 horas anticipación vigencia solo 06 meses fecha inicial viaje letra boleto viaje inferior tres 3 milímetros
