,params,mean_test_accuracy,std_test_accuracy,model_name
434,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 1, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
436,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 10, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
438,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 100, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
1,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
6,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.058309519,N-gramas + RF
49,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
54,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.058309519,N-gramas + RF
96,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03391165,N-gramas + RF
144,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03391165,N-gramas + RF
192,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03,N-gramas + RF
205,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
385,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
390,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.058309519,N-gramas + RF
433,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
438,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.058309519,N-gramas + RF
480,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03391165,N-gramas + RF
528,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03391165,N-gramas + RF
576,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 1}",0.69,0.03,N-gramas + RF
589,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.69,0.06041523,N-gramas + RF
192,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 0.1, 'SVMPred__kernel': 'linear'}",0.69,0.048989795,N-gramas + SVC
432,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 0.1, 'SVMPred__kernel': 'linear'}",0.69,0.048989795,N-gramas + SVC
30,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 1.0, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': 50, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.05, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.046368092,TF-IDF + RF
31,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 1.0, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': 50, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.05, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.69,0.06041523,TF-IDF + RF
174,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 0.9, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': 50, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.05, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.69,0.046368092,TF-IDF + RF
175,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 0.9, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': 50, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.05, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.69,0.06041523,TF-IDF + RF
100,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.685,0.037416574,N-gramas + RF
148,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.685,0.037416574,N-gramas + RF
484,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.685,0.037416574,N-gramas + RF
532,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 25, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.685,0.037416574,N-gramas + RF
2,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.685,0.081547532,N-gramas + RF
50,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.685,0.081547532,N-gramas + RF
253,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.685,0.075166482,N-gramas + RF
254,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.685,0.0717635,N-gramas + RF
386,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.685,0.081547532,N-gramas + RF
434,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 5}",0.685,0.081547532,N-gramas + RF
637,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.685,0.075166482,N-gramas + RF
638,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 5}",0.685,0.0717635,N-gramas + RF
217,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 10, 'SVMPred__kernel': 'rbf'}",0.685,0.0717635,N-gramas + SVC
457,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 10, 'SVMPred__kernel': 'rbf'}",0.685,0.0717635,N-gramas + SVC
146,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 1.0, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': None, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.0, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (3, 3), 'SVMPred__C': 10, 'SVMPred__kernel': 'linear'}",0.685,0.053851648,TF-IDF + SVC
148,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 1.0, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': None, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.0, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (3, 3), 'SVMPred__C': 100, 'SVMPred__kernel': 'linear'}",0.685,0.053851648,TF-IDF + SVC
326,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 0.9, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': None, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.0, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (3, 3), 'SVMPred__C': 10, 'SVMPred__kernel': 'linear'}",0.685,0.053851648,TF-IDF + SVC
328,"{'FeatureExtraction__CargosLimpiosTFIDF__max_df': 0.9, 'FeatureExtraction__CargosLimpiosTFIDF__max_features': None, 'FeatureExtraction__CargosLimpiosTFIDF__min_df': 0.0, 'FeatureExtraction__CargosLimpiosTFIDF__ngram_range': (3, 3), 'SVMPred__C': 100, 'SVMPred__kernel': 'linear'}",0.685,0.053851648,TF-IDF + SVC
